scene_name,TotalTissueArea(sqmm),TotalVilliArea(sqmm),VPD,Area_StainArtifact(sqmm),Area_Hemosiderin(sqmm),Total Stain,Stain>10k,Stain5k-10k,Stain2k-5k,Stain<2k
EARLI Fe.2020022-7 Fe,557.1667261,414.6292626,0.744174487,0.08087336,0.282609311,0.36348267,0.033707923,0.015692346,0.024532611,0.28954979
EARLI Fe.2020022-8 Fe,559.6028341,417.3796592,0.745849795,0.053767567,0.255224608,0.308992175,0.015508185,0.019161443,0.023445677,0.25087687
EARLI Fe.2020022-9 Fe,564.2093497,374.9011958,0.664471789,0.088530418,0.327031375,0.415561793,0.021897195,0.009512899,0.026112591,0.358039108
EARLI Fe.2020022_4_Fe,548.9285663,410.1026335,0.747096542,0.046362018,0.116527881,0.162889899,0,0.013934725,0.016906764,0.13204841
EARLI Fe.2020027-10C Fe,437.3286521,255.083342,0.58327608,0.176238333,0.320991129,0.497229462,0.069710373,0.04549706,0.069443148,0.312578881
EARLI Fe.2020027-11C Fe,420.7124734,236.7267904,0.562680703,0.184541608,0.242615508,0.427157116,0.046241835,0.04721497,0.035130413,0.298569898
EARLI Fe.2020027-3B Fe,601.8926751,334.8231836,0.556283865,0.243491863,0.540081707,0.783573569,0.044298358,0.04839716,0.075376962,0.615501089
EARLI Fe.2020027-5B Fe,623.4450566,407.7159693,0.653972575,0.167723463,0.697878224,0.865601687,0.061940532,0.063885786,0.079743243,0.660032126
EARLI Fe.2020027-6B Fe,619.0055989,388.8969013,0.628260717,0.316916204,0.540055797,0.856972001,0.069004208,0.070001729,0.10268292,0.615283144
EARLI Fe.2020027-7C Fe,495.7643814,285.4512118,0.575779993,0.257067494,0.772254871,1.029322365,0.114720484,0.083885736,0.08982336,0.740892785
EARLI Fe.2020027-8C Fe,524.9968005,279.0596069,0.531545348,0.215987773,0.417969357,0.63395713,0.040824943,0.04251415,0.064550546,0.486067491
EARLI Fe.2020027-9C Fe,466.6178016,252.0682658,0.540202849,0.234035355,0.321448103,0.555483459,0.079489227,0.064521588,0.06302264,0.348450004
EARLI Fe.2020027_4B_Fe,708.0727016,446.9408997,0.631207641,0.140480157,0.476020505,0.616500662,0.063203221,0.034568273,0.048490148,0.47023902
EARLI Fe.2020029-10 Fe,462.2609443,259.057548,0.560414093,0.511042344,0.661032187,1.172074531,0.18177385,0.140058834,0.17657465,0.673667197
EARLI Fe.2020029-11 Fe,445.9773056,239.5042287,0.537032324,0.456161425,0.69564771,1.151809134,0.147108286,0.17622995,0.162362963,0.666107935
EARLI Fe.2020029-12 Fe,452.8744046,229.6288424,0.507047517,1.60029318,1.10240353,2.70269671,0.652076345,0.477375317,0.50641087,1.066834178
EARLI Fe.2020029-13 Fe,292.5922232,158.7144603,0.542442511,0.336780001,0.504887028,0.841667029,0.104071625,0.112610119,0.133511572,0.491473713
EARLI Fe.2020029-3 Fe,353.8302742,198.4516483,0.560866785,0.507292305,0.412098031,0.919390338,0.227130439,0.118272136,0.150465616,0.423522147
EARLI Fe.2020029-5 Fe,450.5533916,279.8145818,0.621046444,0.698606488,0.753240757,1.451847245,0.357299668,0.158337825,0.203774937,0.732434815
EARLI Fe.2020029-6 Fe,439.8086809,272.8940269,0.620483494,0.366646948,0.511288993,0.877935941,0.174943613,0.088007653,0.106240414,0.508744261
EARLI Fe.2020029-7 Fe,370.5425698,219.9617326,0.593620681,0.219075845,0.370139414,0.58921526,0.066076928,0.050151395,0.083951526,0.389035411
EARLI Fe.2020029-8 Fe,412.3531533,240.0322734,0.582103645,0.35000636,0.397844177,0.747850539,0.144231047,0.064671712,0.105730858,0.433216922
EARLI Fe.2020029-9 Fe,430.8953489,294.7498424,0.684040436,0.275172739,0.492927701,0.76810044,0.128979164,0.076680318,0.10229834,0.460142618
EARLI Fe.2020029_4_Fe,455.2534049,299.4084849,0.657674345,0.845860061,0.917369412,1.763229473,0.686122888,0.231417509,0.209937692,0.635751384
EARLI Fe.2020039-3 Fe,492.7113836,289.8959256,0.588368638,0.33316764,0.90597245,1.239140089,0.284401394,0.073900113,0.140137579,0.740701003
EARLI Fe.2020039-5 Fe,533.9790303,292.7831586,0.5483046,0.103349712,0.451954666,0.555304378,0.005825857,0.02212327,0.04534338,0.482011871
EARLI Fe.2020039-6 Fe,475.2301521,279.5170856,0.588172035,0.16586559,0.546571816,0.712437405,0.046360968,0.03267738,0.059388433,0.574010624
