,scene_name,scene_id,scene_ver,th_BG,Layer.mean.of.Layer.1..unclassified,Layer.mean.of.Layer.2..unclassified,Layer.mean.of.Layer.3..unclassified,th_RL1,th_RL2,th_RL3,2,3,4,5,6,7,8,9,10,11,12
29,GDM.GDM_2968_Q1,38A15DAF-68CF-11E8-9ECC-D89EF314B0B8,2,208,194.151751,143.4410022,165.5348613,0.385889674,0.285098647,0.329011679,2,3,2,2,3,7,8,5,10,6,10
30,GDM.GDM_2968_Q2,38A15DB0-68CF-11E8-9ECC-D89EF314B0B8,2,205,176.7234455,130.1397964,157.3680257,0.380679756,0.280333975,0.33898627,1,3,1,1,5,2,1,3,1,10,7
31,GDM.GDM_2968_Q3,38A15DB1-68CF-11E8-9ECC-D89EF314B0B8,2,204,188.8606723,140.3446838,164.3188477,0.382677629,0.284372444,0.332949927,2,3,2,1,6,2,1,5,10,7,10
32,GDM.GDM_2968_Q4,38A15DB2-68CF-11E8-9ECC-D89EF314B0B8,2,197,185.2682835,138.5679364,163.456564,0.380199112,0.284362792,0.335438097,1,3,2,1,6,2,1,5,7,7,10
33,GDM.GDM_2978_Q1,38A15DB4-68CF-11E8-9ECC-D89EF314B0B8,2,197,145.9993308,104.6181198,139.9834526,0.373781345,0.267838909,0.358379746,1,1,4,5,1,1,7,9,8,3,11
34,GDM.GDM_2978_Q2,38A15DB5-68CF-11E8-9ECC-D89EF314B0B8,2,200,162.2306022,124.4980735,153.5367871,0.368483599,0.282779559,0.348736842,1,1,1,4,5,4,4,9,1,10,8
35,GDM.GDM_2978_Q3,38A15DB6-68CF-11E8-9ECC-D89EF314B0B8,2,202,164.557037,124.3541775,155.9933101,0.369870451,0.279507559,0.350621991,1,1,1,4,5,4,4,9,1,10,8
36,GDM.GDM_2978_Q4,38A15DB7-68CF-11E8-9ECC-D89EF314B0B8,2,196,159.1479651,122.6940236,154.7446706,0.364527779,0.281030171,0.35444205,1,1,1,4,5,4,7,9,1,10,8
37,GDM.GDM_3022_A,38A15DB9-68CF-11E8-9ECC-D89EF314B0B8,2,212,181.5268381,145.3328541,174.8353532,0.36182705,0.289683654,0.348489296,2,3,2,2,3,7,8,5,10,6,10
38,GDM.GDM_3022_B,38A15DBA-68CF-11E8-9ECC-D89EF314B0B8,2,194,184.4584785,140.5304705,166.1630119,0.375562948,0.286124218,0.338312834,1,3,2,1,6,2,1,5,7,7,10
39,GDM.GDM_3022_C,3E9AC8A9-68CF-11E8-9ECC-D89EF314B0B8,2,199,166.5164809,123.1172441,157.5514347,0.372365847,0.275316033,0.35231812,1,1,1,4,5,4,4,9,1,10,8
40,GDM.GDM_3022_Q1,3E9AC8AA-68CF-11E8-9ECC-D89EF314B0B8,2,198,180.3432917,124.2930356,157.9160809,0.389887261,0.26871125,0.341401489,1,3,1,4,5,2,1,3,2,2,7
41,GDM.GDM_3022_Q2,3E9AC8AB-68CF-11E8-9ECC-D89EF314B0B8,2,193,172.7746763,115.1944821,148.6163347,0.395740763,0.263853206,0.340406031,1,1,1,4,5,4,4,3,2,2,1
